YEAR,MONTH,Date 2,DATE,VENDOR,Balanced data, PAYMENT , ADJUSTMENT ,Receipt,NOTAS,Frozen Initial Balance
2024,MAR,,"Friday, March 22, 2024",FREEDOM,FREEDOM,-$24300.00,,,,
2023,NOV,,"Friday, November 10, 2023",FREEDOM,FREEDOM,-$32625.00,,,,
2024,APR,,"Monday, April 01, 2024",FREEDOM,FREEDOM,-$47608.00,,,,
2024,APR,,"Monday, April 15, 2024",FREEDOM,FREEDOM,-$23004.00,,,,
2023,DEC,,"Monday, December 04, 2023",FREEDOM,FREEDOM,-$23287.50,,,,
2023,DEC,,"Monday, December 11, 2023",FREEDOM,FREEDOM,-$22275.00,,,,
2023,DEC,,"Monday, December 18, 2023",FREEDOM,FREEDOM,$1000.00,,,,
2023,DEC,,"Monday, December 18, 2023",FREEDOM,FREEDOM,$56604.24,,,,
2024,FEB,,"Monday, February 05, 2024",FREEDOM,FREEDOM,-$60168.00,,,,
2024,FEB,,"Monday, February 05, 2024",FREEDOM,FREEDOM,-$47088.00,,,,
2024,FEB,,"Monday, February 12, 2024",FREEDOM,FREEDOM,-$23544.00,,,,
2024,FEB,,"Monday, February 12, 2024",FREEDOM,FREEDOM,-$112924.00,,,,
2024,FEB,,"Monday, February 26, 2024",FREEDOM,FREEDOM,-$49268.00,,,,
2024,JAN,,"Monday, January 08, 2024",FREEDOM,FREEDOM,-$24200.00,,,,
2024,JAN,,"Monday, January 08, 2024",FREEDOM,FREEDOM,-$36850.00,,,,
2024,JAN,,"Monday, January 22, 2024",FREEDOM,FREEDOM,-$42680.00,,,,
2024,JAN,,"Monday, January 29, 2024",FREEDOM,FREEDOM,-$71068.00,,,,
2024,MAR,,"Monday, March 18, 2024",FREEDOM,FREEDOM,-$24069.00,,,,
2024,MAR,,"Monday, March 25, 2024",FREEDOM,FREEDOM,-$47499.00,,,,
2024,MAR,,"Monday, March 25, 2024",FREEDOM,FREEDOM,-$24069.00,,,,
2024,APR,,"Thursday, April 04, 2024",FREEDOM,FREEDOM,-$19809.00,,,,
2024,APR,,"Thursday, April 04, 2024",FREEDOM,FREEDOM,-$24069.00,,,,
2023,DEC,,"Thursday, December 07, 2023",FREEDOM,FREEDOM,-$22680.00,,,,
2023,DEC,,"Thursday, December 21, 2023",FREEDOM,FREEDOM,-$48400.00,,,,
2023,DEC,,"Thursday, December 21, 2023",FREEDOM,FREEDOM,-$24420.00,,,,
2023,DEC,,"Thursday, December 28, 2023",FREEDOM,FREEDOM,-$47190.00,,,,
2024,FEB,,"Thursday, February 08, 2024",FREEDOM,FREEDOM,-$16786.00,,,,
2024,FEB,,"Thursday, February 15, 2024",FREEDOM,FREEDOM,-$23642.10,,,,
2024,JAN,,"Thursday, January 11, 2024",FREEDOM,FREEDOM,-$61160.00,,,,
2024,JAN,,"Thursday, January 18, 2024",FREEDOM,FREEDOM,-$48400.00,,,,
2024,JAN,,"Thursday, January 18, 2024",FREEDOM,FREEDOM,-$36520.00,,,,
2024,JAN,,"Thursday, January 18, 2024",FREEDOM,FREEDOM,-$23980.00,,,,
2024,JAN,,"Thursday, January 25, 2024",FREEDOM,FREEDOM,-$17876.00,,,,
2024,MAR,,"Thursday, March 28, 2024",FREEDOM,FREEDOM,-$23430.00,,,,
2024,APR,,"Tuesday, April 16, 2024",FREEDOM,FREEDOM,-$45776.00,,,,
2024,APR,,"Tuesday, April 23, 2024",FREEDOM,FREEDOM,-$70929.00,,,,
2024,APR,,"Tuesday, April 23, 2024",FREEDOM,FREEDOM,-$24524.00,,,,
2023,DEC,,"Tuesday, December 05, 2023",FREEDOM,FREEDOM,-$22680.00,,,,
2023,DEC,,"Tuesday, December 12, 2023",FREEDOM,FREEDOM,-$22275.00,,,,
2023,DEC,,"Tuesday, December 26, 2023",FREEDOM,FREEDOM,-$31680.00,,,,
2023,DEC,,"Tuesday, December 26, 2023",FREEDOM,FREEDOM,-$24640.00,,,,
2023,DEC,,"Tuesday, December 26, 2023",FREEDOM,FREEDOM,-$72820.00,,,,
2024,FEB,,"Tuesday, February 06, 2024",FREEDOM,FREEDOM,-$18312.00,,,,
2024,FEB,,"Tuesday, February 13, 2024",FREEDOM,FREEDOM,-$18312.00,,,,
2024,FEB,,"Tuesday, February 20, 2024",FREEDOM,FREEDOM,-$67580.00,,,,
2024,JAN,,"Tuesday, January 02, 2024",FREEDOM,FREEDOM,-$73260.00,,,,
2024,JAN,,"Tuesday, January 09, 2024",FREEDOM,FREEDOM,-$47190.00,,,,
2024,JAN,,"Tuesday, January 16, 2024",FREEDOM,FREEDOM,-$36520.00,,,,
2024,JAN,,"Tuesday, January 16, 2024",FREEDOM,FREEDOM,-$61160.00,,,,
2024,JAN,,"Tuesday, January 23, 2024",FREEDOM,FREEDOM,-$47960.00,,,,
2024,JAN,,"Tuesday, January 23, 2024",FREEDOM,FREEDOM,-$18312.00,,,,
2024,JAN,,"Tuesday, January 30, 2024",FREEDOM,FREEDOM,-$23980.00,,,,
2024,MAR,,"Tuesday, March 05, 2024",FREEDOM,FREEDOM,-$23430.00,,,,
2024,MAR,,"Tuesday, March 05, 2024",FREEDOM,FREEDOM,-$24282.00,,,,
2023,NOV,,"Tuesday, November 21, 2023",FREEDOM,FREEDOM,-$23287.50,,,,
2023,SEP,,"Tuesday, September 26, 2023",FREEDOM,FREEDOM,-$19750.00,,,,
2023,DEC,,"Wednesday, December 06, 2023",FREEDOM,FREEDOM,-$22680.00,,,,
2023,DEC,,"Wednesday, December 20, 2023",FREEDOM,FREEDOM,-$24200.00,,,,
2023,DEC,,"Wednesday, December 27, 2023",FREEDOM,FREEDOM,-$22550.00,,,,
2023,DEC,,"Wednesday, December 27, 2023",FREEDOM,FREEDOM,-$49060.00,,,,
2024,FEB,,"Wednesday, February 07, 2024",FREEDOM,FREEDOM,-$15260.00,,,,
2024,FEB,,"Wednesday, February 07, 2024",FREEDOM,FREEDOM,-$23980.00,,,,
2024,FEB,,"Wednesday, February 07, 2024",FREEDOM,FREEDOM,-$15260.00,,,,
2024,FEB,,"Wednesday, February 21, 2024",FREEDOM,FREEDOM,-$24226.14,,,,
2024,JAN,,"Wednesday, January 03, 2024",FREEDOM,FREEDOM,-$35000.00,,,,
2024,JAN,,"Wednesday, January 10, 2024",FREEDOM,FREEDOM,-$18040.00,,,,
2024,JAN,,"Wednesday, January 17, 2024",FREEDOM,FREEDOM,-$48400.00,,,,
2024,JAN,,"Wednesday, January 17, 2024",FREEDOM,FREEDOM,-$61160.00,,,,
2024,JAN,,"Wednesday, January 24, 2024",FREEDOM,FREEDOM,-$15075.00,,,,
2024,JAN,,"Wednesday, January 31, 2024",FREEDOM,FREEDOM,-$18312.00,,,,
2024,MAR,,"Wednesday, March 13, 2024",FREEDOM,FREEDOM,-$23856.00,,,,
2024,MAR,,"Wednesday, March 13, 2024",FREEDOM,FREEDOM,-$46860.00,,,,
2024,MAR,,"Wednesday, March 27, 2024",FREEDOM,FREEDOM,-$24069.00,,,,
2024,MAR,,"Wednesday, March 27, 2024",FREEDOM,FREEDOM,-$19881.00,,,,
2024,MAY,,"Wednesday, May 15, 2024",FREEDOM,FREEDOM,-$41970.00,,,,
2024,MAY,,"Wednesday, May 22, 2024",FREEDOM,FREEDOM,-$48500.00,,,,
2025,JAN,2/1/2025,"1/2/2025
",GREYROCK,GREYROCK,-$350000.00,,Imagen de WhatsApp 2025-01-02 a las 08.47.48_56d23cb7.jpg (https://v5.airtableusercontent.com/v3/u/53/53/1778220000000/8DKbrRk1gsSRCV7ie99uag/guqVBSq0CsO_1_uXDyaNpcbaCQzgPL61vHzRGHpYQHpa9STOcvF9vTth_q_Eke-5YyAln4FSp_yoFt0b-mNlypht9MuT3Eom5Qv42M8WdpPTM-A0R1sYDiju9h_XUULE0MfoTli2BcTnMLA_8G1KPHaGx5Ny3mmWOam_fQS3_vsSeHXhGpa00Q7x24GskN9OycVMo5oyZdg-3LQKqFTwLg/es8EtaezhAxmt7-tYxbUT4rT6iV7XJtzaOQ7qG8UslE),,
2025,JAN,2/1/2025,"1/2/2025
",GREYROCK,GREYROCK,-$425000.00,,Imagen de WhatsApp 2025-01-02 a las 10.00.15_771f6e13.jpg (https://v5.airtableusercontent.com/v3/u/53/53/1778220000000/xmDv71Lelsby-yoCsmqEDA/Yory_WJrziE6FqI1sj-qwbeeWHfMsiw-YLYtiPwY3eMQwobCXfgiC73fOTcG8cm_rASzv73m69RVSapRTEtmOW81hafbznYw_BXUAtK-iuarwiY9dN8WBFkS-LLw3VZazJ2tlOcb36QTIM73fLmt7Z45Q6Bm01z3Fpt1YH5CO6eLPgnY9_qc_C18GBVA4nEnwOSaOtrbleCw15leSpyAWA/AdEvIlZr0SWmMj1RZnIrAO8xzBNHMRCAvhrk0nzXztI),,
2025,JAN,2/1/2025,"1/2/2025
",GREYROCK,GREYROCK,-$175000.00,,Imagen de WhatsApp 2025-01-02 a las 10.46.22_8873f18b.jpg (https://v5.airtableusercontent.com/v3/u/53/53/1778220000000/uhrjDuUK4jZ3Ihm5CsRm0A/UrfJrSB0mNAbdhec-akIler4VJAjeGfyPlHEMGR83MF7IVutTuofpfhuCfnNWisn7YpzsUcYl3Q17vCCV6NRyDcif63iqt0XJiEIUxkti0PGyOHo6YqGIs0tabAHfGA-xqA-7_TsYertBPUVr6xG-OiGHvwHSEP1MmSqfuIWesJqT0OPUQhC_AnMdvwdzQU9AXVM5xenItILKAaFlmnyzA/JumPI_8Ee7e0MAEUKebw18mZzvP_9x4_fQ88t_IeWxo),,
2025,JAN,2/1/2025,"1/2/2025
",GREYROCK,GREYROCK,-$110000.00,,,,
2025,JAN,3/1/2025,1/3/2025,GREYROCK,GREYROCK,-$400000.00,,Imagen de WhatsApp 2025-01-03 a las 10.20.36_c0bb65ba.jpg (https://v5.airtableusercontent.com/v3/u/53/53/1778220000000/hctbbRnJRtJeV28UZaS40A/Wv-cG2p24MosOaFqJJ58EzdOa5AqSa9PvesuqjmiM7NwMS4rikktmrLKyaXogppGWGkacacqsd1oKgczg1OgP65dTKzzsMTuIJzta59Kbm34VssBJ0SvuXER3gEp2TaJGPGg2Sxg1iJK56gJBnr2ePPNjYQE7aQsNUaJ9gcRW_qcd4fGgEl-4NXD-kr6dx2I3ku6WthIODqus3sZ1KlvNA/iQ3p2QYB6LVM7kZq3yKftU9LadX5YmHytvmxuye9Ruc),,
2025,JAN,3/1/2025,1/3/2025,GREYROCK,GREYROCK,-$150000.00,,Imagen de WhatsApp 2025-01-03 a las 11.52.40_dcd763d5.jpg (https://v5.airtableusercontent.com/v3/u/53/53/1778220000000/f6rnbqrHhqkBZ_1QyHcyRg/ovxW9Q5BhWvYO1w_ycBnoy9Ka2E858qGJo8atYOYjeBnWUYHqdkL_7PsFvcoH2Ra8tltAAMMNCJiLIW8BHLmuevyZk2GsTIcpMDVTAZji5-x6jqTt4iTlnFnVO9gbVeY3DmcWjiZQa9FC3f5M63co0zFjtnf7e-oLXXs9UlQt6HTG7U_TdKYq7Ezx5JbyJKRqH-4gRA_F369RmDY_r6P_w/jHizKCoOd3xav78HTh_PukJwl6UmeSGiuDVsF3YGNWY),,
2025,JAN,3/1/2025,1/6/2025,GREYROCK,GREYROCK,-$150000.00,,,,
2025,JAN,6/1/2025,"1/6/2025
",GREYROCK,GREYROCK,-$350000.00,,Imagen de WhatsApp 2025-01-06 a las 09.14.43_431e54bf.jpg (https://v5.airtableusercontent.com/v3/u/53/53/1778220000000/LaEty7Wiko5p8LxP31bEqw/SLnReWjtNTQQnHwZC6nGtdbFe0AvqJkAdiB7mhOIU62-cRuUwQ7Na4r7CfYd4XrZkTOTfhhP44lDvLpnhckxSoKcmm0CqXzlz1r6dwGNlWChZkyzITcIjCJG-HnwxCU_u2tXTcuWoCsr7DLIggRS5ov4oG02zCvHNdgNoqGAE9JO9f63GKNrJptfm8zQqxzQ08dyPztn0aQPYyWHz2dAsw/imCr3QT7XcbXd70InquwBdaNL6C-QUZMhjqBWeqyEc0),,
2025,JAN,6/1/2025,"1/6/2025
",GREYROCK,GREYROCK,-$300000.00,,Imagen de WhatsApp 2025-01-06 a las 10.43.29_d81e9557.jpg (https://v5.airtableusercontent.com/v3/u/53/53/1778220000000/pAIcaTsEwP0CkbH2Rs7rZw/ajpV9P3QSAzXznHv72c8VJGu7W_aJTThiZRmoZTSIL7H_UWjjuNdGntCEdiOBY74adC2rM9glTG-bSzg7uD6x6P4phx_lLu1y_s2WJz3z5PUpw0hkuAbuL-fr1b0bokKLuBMsi_MJfZYAz6fDC32ItUEufuGw3Ie72UrqqKyexdZhFLtKBr3hSgit-uLIhPB1CwQZC-glWUx82YUQaSxoA/hgOcFdehz4d3DSlMxuWEYIpEagZB062vXlfsIiiDH2M),,
2025,JAN,6/1/2025,"1/6/2025
",GREYROCK,GREYROCK,-$207884.72,,Imagen de WhatsApp 2025-01-06 a las 12.28.30_cc912e41.jpg (https://v5.airtableusercontent.com/v3/u/53/53/1778220000000/zrUpMeWJ86ljz6X8zWrWmQ/1aMuiHtZ58lRFH923gXe41hUmTgBMRVxlGkl7p8AHb_QOONNX5uFi7XGxogHcwmLRsEAe040KuxUXqSrsfXGVYRt_tujQjDkcRKno_NgN6QRe22C6u8yTmF2fMTT8eijQCyUzn9Mh4Bz-c5N6Ll-3A1vgNaxRKqCcf0mDwsjDPVfWqnEw76yvB1a86kGIRmZZXpZWyj2u6k71ry_S1_ctw/WuN-pBCVAQ8BvhQsc8NDSfNl4hHyoqN3MUGNZh8W0_I),,
2025,JAN,7/1/2025,1/7/2025,GREYROCK,GREYROCK,-$425000.00,,Imagen de WhatsApp 2025-01-07 a las 10.25.39_55974cdc.jpg (https://v5.airtableusercontent.com/v3/u/53/53/1778220000000/1DGGgQTv928LiqEgFws4hQ/cXba7Kp_LZWbGOR_9hAq37nP9lVb0347jbTp3Y7Vz1o9mxeYjbF_Sx0VrUr8n7-SaV3eFRvDlNAI2VP2bCqB1H0hxA0uu6aGQrsV8xy5xGFsvkuqkTdO0NEalu6ogg1zj81hHH5ZZI9AWJ1tf5gy_7kIPid-AH2W16pes9ey0k_YJVrXcW-6_Tn3MGgqpCHi4tFDqusRApt5aTqmb7h8vw/QgIX0Tf8lCzo5WfCVoW1CzU4Nw4Ox7-A6GHFY75YxSU),,
2025,JAN,7/1/2025,1/7/2025,GREYROCK,GREYROCK,-$275000.00,,Imagen de WhatsApp 2025-01-07 a las 10.27.20_22a263d6.jpg (https://v5.airtableusercontent.com/v3/u/53/53/1778220000000/cat0MSdrktX2rAmGqOlogQ/bE_notg6RPU4BqYeqiK-5Sq19YxHySpJ9bL6WD4jo6v9JOZSOgabMfTd-IC7A8qxv7TaJg5pGD95GxZveDImKUS-IBk_MxJ0ErGI-TCVMrxx9C3BDw9BUDMK0H5At1sc60FQ57I8tYBW0eqFZmhC4k52kf-2XU9qisI5h1b6kEsp3U2_tEZbJJfdEraxGciWeDGyFMuwokduhtNI6cuvWA/ZaOvta2w8xNN2rK3-uQ5bVn8X7kLMqhPs8grXGK_x7M),,
2025,JAN,7/1/2025,1/7/2025,GREYROCK,GREYROCK,-$225000.00,,Imagen de WhatsApp 2025-01-07 a las 12.18.25_e7d99289.jpg (https://v5.airtableusercontent.com/v3/u/53/53/1778220000000/wVx08biXRm7gCwQ-Ug7B0g/vN3TpsJWzPC9W-P1iIJiimZu1t1O05am0V9bPpcDBZv5Ll28c1OEfKgXQ3iJyXVw2WH_RYPu2LMb3eVzuhyUZz_ARI3M0djX8Zp6C9ITI7Rb_xUnK-sxbK_zjdvTjbwAeQmss0RJ9Bwh2cdW9dYc7c5T6uWKRYTdLvQUzoUzK66_1TMd-KmlPe68Gtvw7mRPIla6ceFG9zX7DrgJjaNbbw/GaNKKCW_6iNm1jSiEq4FJeyIN-_D-T4EprBfO-9OnsA),,
2025,JAN,7/1/2025,1/7/2025,GREYROCK,GREYROCK,-$150000.00,,IMG-20250108-WA0029.jpg (https://v5.airtableusercontent.com/v3/u/53/53/1778220000000/ZQXPHyMSwt0RVddklH1Lew/1Y_wOU3pA7pP02p4eigV9L4qeJ_FrJEklAUiK9xX60SMFjEtCucn6-W7-mY63OOl1a6R7vAUjYr82H3OZflDGF1UEEGdwg0OWBNf4I0X9qmkXSS5qgsVQTdknpJEaiQqJnLDcm9fgVAhRgahTIXbkY3S-dihWelVrYCtlbrmmjs/XgBkQybUBgtrIhFleqZKXERqW0o_h6HqsqXrSM-hsb0),,
2025,JAN,8/1/2025,"1/8/2025
",GREYROCK,GREYROCK,-$165000.00,,IMG-20250108-WA0028.jpg (https://v5.airtableusercontent.com/v3/u/53/53/1778220000000/rMCZCHisfZAJ82sEKac7NA/tiYnoagEV_4pxl6EUx5DnUqLgQqYBXLcjy0Rr-lFtAko902Rt97JD6qGwGAfFPM2gOt9sPl6nhsw5C3A2Zd6RVJiils7EVPqg5oHVMG3qDrZ1yy6LQImmTXxtQL68bSck5rb6H38S1HO6UVf9hUEi2bnWwnvkLmOzpn7aVoquCU/GWRrgdUDntGVQ8FOqKVJ9h0tFIv4fSmWIGen7uC9b-8),,
2025,JAN,9/1/2025,"1/09/2025
",GREYROCK,GREYROCK,-$89598.08,,Imagen de WhatsApp 2025-01-09 a las 07.47.56_93f03df4.jpg (https://v5.airtableusercontent.com/v3/u/53/53/1778220000000/IJev2xxv01pnHfXeoqwyNA/Nmobt2q9hhUhoZPRWCeONc76ilgOPrBn6Ih8F2ycttTMnZq8kg7xACk9_nOTZ2QdavXBOrKaC3xvNnM2AuP0x9e--ROT-6aJBLEvEEM2jcBQPg94dHgnX9j0GZKsZGtgTnJpNeIhnkqUlPUnapL3JNt3FauZ3pY8q8ygk765NlnPYgwjO8MUBLudgv3_BEHDrnleakUKuxY0nzyvY3PaNw/cRRNfcnqvyxHsAHjqyd_ab6kRchJ5v9aKtinzZbzhw8),,
2025,JAN,9/1/2025,"1/09/2025
",GREYROCK,GREYROCK,-$450000.00,,Imagen de WhatsApp 2025-01-09 a las 10.03.19_b7b988c1.jpg (https://v5.airtableusercontent.com/v3/u/53/53/1778220000000/pEoGmAas_NsLJdFW-Js1fw/lehzklDfIC2b3H7AuhJQBZluK2QTKjvzmvM5poEnrOmsn2l5IgmG_E_tnv8I9t47cVGQXzmAWNmblaZ4b_HlVjDycV_BGTY4S8bfCT59Gm5PJ0EVEZgo6Nl3Y3r-a47HKx6x5lcRlt3O9aZb9F20hcULMtu7hdz77Nks-eZo83s0hCnTyNwJ6HImneJdQCvIeIi6XH8AjI3mdx-AM-hwRw/TMO21iETc9N-LhojjSCb8eaYFsTJz3MtCaGQy846p1Q),,
2025,JAN,9/1/2025,"1/09/2025
",GREYROCK,GREYROCK,-$200000.00,,Imagen de WhatsApp 2025-01-09 a las 10.03.26_ee92fe1c.jpg (https://v5.airtableusercontent.com/v3/u/53/53/1778220000000/wigl2Q9N9oyODaKLj8GHPg/G5EzfSkpGY1OG1dfl7QJ6cJuIaJ9L65ZOEGXokFIKzodX9Rd0AE6u7VMn3RIqyPdAyhco0YB3crptacXP3g6SfVyZjRZU8tcJBKRkjLDj_oAVEWRQDEBrb1Ch-brjSVa743lXcqPoq5l1c-Kvg97y_z7C7RgRTfjybLo2FF2wkdWsMxxDy_5QV25oMuXe1mVD1Cf71Uu-o5HwPve5FM4RQ/tah-tstym0_Fb32O8xWW3HauB6MLsrWIX5ORGT5euaI),,
2025,JAN,9/1/2025,"1/09/2025
",GREYROCK,GREYROCK,-$250000.00,,Imagen de WhatsApp 2025-01-09 a las 15.06.33_8795a7bd.jpg (https://v5.airtableusercontent.com/v3/u/53/53/1778220000000/wbT6JKuQPKGf0HLeAM6h1Q/ty_nNCWKKgJa8h9Npx-ZEQ4HlQAdMtQu-ku_CQFqUWPtYPE3GZT6_z9H9gS9js9Jom0Knne3nOZO6ywoC9_dtVmUPBbutr3WsZbSgpLd-x2Ck9MttViVX3X3fDzXwDfRltQqYe48m8kD1VjXMgAhzE86UuXvdiM3Fn_LNNIlrvoGwNUGlnqqk36FnFTW1ZCi3BbNiKZ_L4CrsNNCajXfRA/xraaUlfQkYqe1w8k36ioyubaJsvs3YVg2SzvwMH89Bw),,
2025,JAN,10/1/2025,"1/10/2025
",GREYROCK,GREYROCK,-$500000.00,,Imagen de WhatsApp 2025-01-10 a las 09.47.05_2c9c44ac.jpg (https://v5.airtableusercontent.com/v3/u/53/53/1778220000000/G-c23mgr18-o42p-HvpFJg/zSku_XrFPm0qSgvVyf99k-cqZvflX-LngCXum4qSuQmRe8iAca-KHoDCUj9_PrmNpbUsayOmZ00LB9EyyZLrM8rYdYRSMitJTHFGb9_8q27l2qQgFyqcYhiOsF6a4Pgw4NfpaIkj9-26ewxAWsgq295_fj2e6bQghXse4nlJmnrnAP-dBs3dOpStwDLNsLadnBsLhv6Vzo8XutkQpB-Phw/_nIOWzIgyqnp3WS-ZgkYSjP9mICxEzXnQHJ0a_ZOeD4),,
2025,JAN,10/1/2025,"1/10/2025
",GREYROCK,GREYROCK,-$175000.00,,Imagen de WhatsApp 2025-01-10 a las 12.09.07_5618bd27.jpg (https://v5.airtableusercontent.com/v3/u/53/53/1778220000000/UPjKBmTUY9lpCgzC_ZEo2Q/9qeHtmrya1SxvqwvQMQINGmL09vqXdWyhfNgt2ZDZk2sD_jn5RTAWuTnWstHco5ijW4S88EqRqCEqnBu_HM0qOUlwG455KXfFfA-HWvzUZohuFGSVtgM8j_0R9jPyBlYKptPvvxnNUk5O5fXzHtLkJIjW_-FusdTzjAE9b6ZK19qWBYhPkx3H9dTbOY4TiAvEnGw3Ey4-Oo5B6GzdzkOHA/f8bavRTLgzDlqP6DTG0ztt5D_kQ6fnuKSuMuSQHhKq0),,
2025,JAN,13/1/2025,"1/13/2025
",GREYROCK,GREYROCK,-$400000.00,,Imagen de WhatsApp 2025-01-13 a las 09.06.38_f97435bc.jpg (https://v5.airtableusercontent.com/v3/u/53/53/1778220000000/ZGDxOJbsDCRa6MjegYW5bw/UAS4Qhed0_zUUqzJMQ3pYUgnjcOvpNNZSDoe8MYw-Kk9nDlpY30Yku3Q74vuu37IbIiNV5e0ZQuXa5l1xjI8mmC9FgIIM5T1lXFnxT0JZMyTazyLA4G_tnteTI3j1nSsrCCQ4q9R6s-T98PdVsXljKOEKr-lcrs9nExT2Ii2sbRNS3B7LH_jYuef18tPPTb47ZP3SuQAJEc88pbyurXrzg/aAGcYtmm4ahMtoCkoLNxO4-mbk_5qvuUQy7qnUae4oo),,
2025,JAN,13/1/2025,"1/13/2025
",GREYROCK,GREYROCK,-$165000.00,,Imagen de WhatsApp 2025-01-13 a las 10.55.12_ce74f85d.jpg (https://v5.airtableusercontent.com/v3/u/53/53/1778220000000/wOAu9EcNXt4IgznkZMqzlg/6KblBJzzrbXOT9LzKvememHsDGiM32F1wCv4lJI7nn6XEXWnup1nIIpoiL9RpCO1Y39wUV8qqnsNMtOquBuOtBmZgM8IO_6mVrzBg1iJMthmRPrLqtwzByXcqdYfb2kXUYMRgaMf8m0wbRZdfSwrRcK4oNEG6aS8VofN6XsgALxJb5oGGGzMk8kFvxdST2X2ByWVJBaVkV0ojdyIAFO2Yw/DutrRWrml5vUNYAfJChc94XHWuFfxNw6i1YD5THL5PA),,
